generacion,precision_train,precision_test,t_evaluar,t_especiar,t_cruzar,t_mutar,conexiones_prom
0,0.1815,0.175,0.635932,0.200318,0.387485,9.9237e-05,1970
1,0.209,-1,0.64594,0.235271,0.382863,0.000252282,1970.05
2,0.2305,-1,0.667941,0.201016,0.381009,0.000142633,1970.17
3,0.2455,-1,0.65065,0.200964,0.381938,0.000279173,1970.12
4,0.2515,-1,0.66866,0.201214,0.381673,0.000120649,1970.16
5,0.3035,-1,0.658812,0.201735,0.383185,0.000197542,1970.12
6,0.3035,-1,0.645092,0.202252,0.381446,0.000178833,1970.04
7,0.3305,-1,0.662619,0.202087,0.383785,0.00036267,1970.13
8,0.371,-1,0.652802,0.201702,0.38302,0.000266772,1970.09
9,0.3735,-1,0.669531,0.202906,0.381863,0.00019742,1970.13
10,0.383,0.313,0.661567,0.201848,0.386603,0.000140793,1970.12
11,0.4195,-1,0.651143,0.201023,0.381681,0.000262965,1970.07
12,0.4195,-1,0.662446,0.200583,0.380836,0.00015879,1970.12
13,0.421,-1,0.672229,0.201634,0.382026,0.000242982,1970.16
14,0.431,-1,0.706994,0.201199,0.382664,0.000128166,1970.32
15,0.4385,-1,0.731232,0.2015,0.382699,0.00028738,1970.45
16,0.472,-1,0.727089,0.201208,0.383538,0.000123593,1970.45
17,0.472,-1,0.715775,0.200465,0.382622,0.000218398,1970.39
18,0.472,-1,0.708344,0.201868,0.382123,0.00015432,1970.39
19,0.472,-1,0.703533,0.200612,0.382644,0.000223889,1970.35
20,0.4765,0.429,0.676373,0.200409,0.38495,0.000271729,1970.2
21,0.4765,-1,0.705457,0.200606,0.381972,0.000278987,1970.33
22,0.4765,-1,0.726499,0.199897,0.381361,0.000160418,1970.44
23,0.508,-1,0.715264,0.200446,0.382456,9.506e-05,1970.4
24,0.508,-1,0.683073,0.200486,0.381522,0.000215974,1970.27
25,0.508,-1,0.694927,0.199915,0.382186,0.00032361,1970.36
26,0.508,-1,0.719618,0.201218,0.383393,0.000224547,1970.45
27,0.508,-1,0.696474,0.200853,0.383718,0.000149675,1970.28
28,0.508,-1,0.696495,0.20149,0.384132,0.000207455,1970.29
29,0.511,-1,0.731219,0.20066,0.3832,0.000155759,1970.49
30,0.518,0.478,0.734934,0.201129,0.383701,0.000207732,1970.55
31,0.518,-1,0.728603,0.201085,0.381516,0.000264087,1970.51
32,0.5245,-1,0.709032,0.20092,0.383665,0.000386657,1970.41
33,0.5245,-1,0.734282,0.200732,0.381968,0.00031828,1970.56
34,0.529,-1,0.727579,0.201074,0.383908,0.000228408,1970.54
35,0.529,-1,0.748036,0.201928,0.383167,0.000182431,1970.58
36,0.529,-1,0.786243,0.19981,0.382775,0.000163043,1970.75
37,0.5335,-1,0.820068,0.199785,0.381844,0.000243087,1971.02
38,0.535,-1,0.86189,0.200323,0.382177,0.000204913,1971.33
39,0.535,-1,0.814008,0.199243,0.382056,0.000126638,1970.99
40,0.535,0.485,0.812649,0.200688,0.38478,0.0001759,1970.97
41,0.552,-1,0.807779,0.199814,0.381934,0.000214254,1970.93
42,0.5655,-1,0.787502,0.200528,0.382918,0.000262387,1970.89
43,0.5655,-1,0.79415,0.200772,0.382963,0.000287101,1970.8
44,0.5655,-1,0.825728,0.200191,0.382946,0.000260761,1971.03
45,0.5655,-1,0.788182,0.199755,0.381869,0.000202282,1970.81
46,0.5655,-1,0.785846,0.200121,0.382389,0.000245681,1971.05
47,0.5655,-1,0.800109,0.199949,0.382442,0.000345807,1971.17
48,0.5655,-1,0.815558,0.200341,0.381452,0.000171559,1971.55
49,0.5655,-1,0.797165,0.199645,0.381189,0.000150353,1971.15
50,0.5655,0.526,0.782481,0.199519,0.384041,0.000131579,1971.07
51,0.5705,-1,0.813931,0.199868,0.382135,6.1196e-05,1970.99
52,0.5705,-1,0.798807,0.19913,0.381479,0.000151954,1970.8
53,0.5705,-1,0.790243,0.19947,0.381469,0.000270405,1970.8
54,0.573,-1,0.80743,0.199874,0.381269,0.000214171,1970.89
55,0.5785,-1,0.828483,0.199419,0.380501,0.000335013,1970.93
56,0.5785,-1,0.822105,0.199694,0.381823,0.000170978,1970.92
57,0.6095,-1,0.830962,0.199841,0.381021,0.000197425,1970.97
58,0.6095,-1,0.837958,0.19962,0.380787,0.00022257,1971.03
59,0.6095,-1,0.769667,0.199472,0.381886,0.000276223,1970.67
60,0.6095,0.564,0.729254,0.19963,0.383123,0.000189922,1970.47
61,0.6095,-1,0.728622,0.199311,0.381351,0.000197155,1970.44
62,0.6095,-1,0.731681,0.199454,0.381437,0.000204905,1970.47
