# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 65K of event 'cpu/cycles/Pu'
# Event count (approx.): 254879522953
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .........................................................................................................................................................................................................................................................................................................................................................  ....................
#
    38.27%  [.] neat::Genome::runNetwork(float (*)(float))                                                                                                                                                                                                                                                                                                             -      -            
    31.80%  [.] neat::Population::crossover(bool)                                                                                                                                                                                                                                                                                                                      -      -            
    26.50%  [.] neat::Population::compareGenomes(int, int, float, float, float)                                                                                                                                                                                                                                                                                        -      -            
     0.64%  [.] neat::Genome::loadInputs(float*)                                                                                                                                                                                                                                                                                                                       -      -            
     0.50%  [.] processFn(float*, float*, void*)                                                                                                                                                                                                                                                                                                                       -      -            
     0.38%  [.] activationFn(float)                                                                                                                                                                                                                                                                                                                                    -      -            
     0.34%  [.] neat::Genome::Genome(int, int, int, float, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >*, int*, float)                                                                                                                                                                                -      -            
     0.17%  [.] random_r                                                                                                                                                                                                                                                                                                                                               -      -            
     0.14%  [.] rand@plt                                                                                                                                                                                                                                                                                                                                               -      -            
     0.14%  [.] random                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.08%  [.] rand                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.07%  [.] 0x0000000000092b39                                                                                                                                                                                                                                                                                                                                     -      -            
     0.07%  [.] 0x0000000000092b5d                                                                                                                                                                                                                                                                                                                                     -      -            
     0.06%  [.] neat::Population::runNetworkAuto(float (*)(float*, float*, void*), void*, void (*)(float*, void*), float (*)(float), int, float, int)                                                                                                                                                                                                                  -      -            
     0.05%  [.] neat::Genome::getOutputs(float*)                                                                                                                                                                                                                                                                                                                       -      -            
     0.05%  [.] neat::Genome::getInnovId(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >*, int*, int, int)                                                                                                                                                                                               -      -            
     0.03%  [.] 0x0000000000092ae2                                                                                                                                                                                                                                                                                                                                     -      -            
     0.03%  [.] expf@plt                                                                                                                                                                                                                                                                                                                                               -      -            
     0.03%  [.] mnist::MNIST_dataset<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char> mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long)  -      -            
     0.03%  [.] 0x0000000000092b15                                                                                                                                                                                                                                                                                                                                     -      -            
     0.02%  [.] 0x00000000001765b3                                                                                                                                                                                                                                                                                                                                     -      -            
     0.02%  [.] 0x00000000001765a9                                                                                                                                                                                                                                                                                                                                     -      -            
     0.02%  [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)                                                                                                                                                                         -      -            
     0.02%  [.] std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)                                                                                                                                                                                                                                                                           -      -            
     0.02%  [.] 0x00000000001765ae                                                                                                                                                                                                                                                                                                                                     -      -            
     0.02%  [.] 0x00000000001765bb                                                                                                                                                                                                                                                                                                                                     -      -            
     0.02%  [.] 0x00000000001765a4                                                                                                                                                                                                                                                                                                                                     -      -            
     0.02%  [.] 0x0000000000092b1a                                                                                                                                                                                                                                                                                                                                     -      -            
     0.02%  [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const                                                                                                   -      -            
     0.01%  [.] 0x00000000001765c5                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)                                                                                                                                                                                                                                                                         -      -            
     0.01%  [.] 0x0000000000092add                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x0000000000092b61                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x0000000000092b2d                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x00000000001765c0                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x00000000001473e8                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, char, double) const                                                                                       -      -            
     0.01%  [.] malloc                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.01%  [.] 0x0000000000092ad8                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [k] 0xffffffffad162928                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] 0x0000000000092b59                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] std::ostream& std::ostream::_M_insert<long>(long)                                                                                                                                                                                                                                                                                                      -      -            
     0.01%  [.] 0x000000000005c4b7                                                                                                                                                                                                                                                                                                                                     -      -            
     0.01%  [.] std::ostream::sentry::sentry(std::ostream&)                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [.] neat::Connection::Connection(int, int, int, float, bool, bool)                                                                                                                                                                                                                                                                                         -      -            
     0.00%  [.] 0x0000000000176646                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] neat::Genome::isValidNewConnection(int, int, bool)                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] neat::Population::selectParent(int)                                                                                                                                                                                                                                                                                                                    -      -            
     0.00%  [.] 0x00000000001765ca                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] neat::Genome::mutateWeights(float, float)                                                                                                                                                                                                                                                                                                              -      -            
     0.00%  [k] 0xffffffffac08c9b2                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000092b28                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000176485                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x00000000001791b0                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] std::codecvt<char, char, __mbstate_t>::do_always_noconv() const                                                                                                                                                                                                                                                                                        -      -            
     0.00%  [.] neat::Population::save(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)                                                                                                                                                                                                                                                -      -            
     0.00%  [.] 0x000000000005ce63                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] operator new(unsigned long)                                                                                                                                                                                                                                                                                                                            -      -            
     0.00%  [k] 0xffffffffabc01280                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000017664a                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000092ad0                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000176633                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000092b35                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x0000000000055841                                                                                                                                                                                                                                                                                                                                     -      -            
     0.00%  [.] 0x000000000005dc4c                                                                                                                                                                                                                                                                                                                                     -      -            
